Model Name,Target Id,Attack Type,Attack Number,Avg Pred Rating Diff,Var Pred Rating Diff,Avg Rank Diff,Var Rank Diff,Ratio Rank 1,Composite Impact Score
NNMF,2001,average,1,1.671488074,0.620076865,48.60742706,44.0607809,0.857427056,20.22717587
NNMF,2001,average,2,1.644617823,0.622990524,47.40318302,85.12731567,0.572944297,19.71878322
NNMF,2001,average,3,1.551270626,0.717664243,46.16578249,101.9486094,0.362732095,19.17496342
NNMF,2001,average,4,1.609508764,0.807342504,42.71816976,174.7891321,0.210875332,17.77509401
NNMF,2001,average,5,1.484737726,0.958838361,40.71286472,232.3388656,0.075596817,16.91889612
NNMF,2001,bandwagon,1,1.16638607,0.646199127,33.69164456,401.1450662,0.082891247,13.98098346
NNMF,2001,bandwagon,2,0.896566555,0.569169121,30.06498674,431.1410958,0.109416446,12.42971267
NNMF,2001,bandwagon,3,0.576032972,0.840126894,9.24933687,283.2582942,0.023872679,3.90938151
NNMF,2001,bandwagon,4,1.318288171,0.541179193,42.06034483,222.4389573,0.267241379,17.43116284
NNMF,2001,bandwagon,5,0.731772271,0.605020939,18.44363395,401.4042527,0.032493369,7.667277039
NNMF,2001,BigGan,1,1.778439095,0.610016461,49.35875332,23.16583574,0.936339523,20.56980494
NNMF,2001,BigGan,2,1.705005665,0.789343539,46.30636605,126.156907,0.627320955,19.29306669
NNMF,2001,BigGan,3,1.562585135,0.620814147,48.52254642,43.48787885,0.769230769,20.15667342
NNMF,2001,BigGan,4,0.997766469,0.816549164,31.63594164,478.0326025,0.00198939,13.10244665
NNMF,2001,BigGan,5,1.084392195,0.74236648,37.47612732,287.3405047,0.00464191,15.47448875
NNMF,2001,gan,1,1.843791241,0.704100287,49.1306366,30.38836403,0.934350133,20.49614135
NNMF,2001,gan,2,1.539100656,0.706221587,47.04774536,95.31291462,0.519230769,19.540079
NNMF,2001,gan,3,1.181267027,0.661975324,42.82692308,216.0542979,0.306366048,17.70564006
NNMF,2001,gan,4,1.4593568,0.607253258,45.99270557,119.1738021,0.577586207,19.08674603
NNMF,2001,gan,5,1.405335746,0.645066301,44.78116711,92.13522571,0.070291777,18.53695218
NNMF,2001,random,1,1.741725971,0.628135968,49.0265252,30.92431254,0.875994695,20.42013052
NNMF,2001,random,2,1.623478672,0.668933043,47.45623342,82.21905203,0.563660477,19.7334627
NNMF,2001,random,3,1.888367892,0.635977361,43.50265252,126.7226207,0.084217507,18.16445466
NNMF,2001,random,4,1.755181154,0.649069437,46.24734748,80.48755102,0.155835544,19.25818565
NNMF,2001,random,5,1.512269087,0.724092694,41.566313,240.0533303,0.297082228,17.28892608
NNMF,2001,segment,1,0.400488691,0.602191711,8.969496021,276.2605155,0.018567639,3.742460931
NNMF,2001,segment,2,0.550401193,0.615488744,11.34681698,327.8192533,0.036472149,4.749835212
NNMF,2001,segment,3,0.505734687,0.64912546,16.65251989,396.9767222,0.043103448,6.879273456
NNMF,2001,segment,4,0.406979811,0.510587143,7.850132626,240.1633245,0.0066313,3.290926835
NNMF,2001,segment,5,0.352697542,0.594687144,4.953580902,167.9620111,0.0066313,2.105975045
